0,1,2,3,4,5,6,7,8,9,10,11
108,0,0,0,0,0,0,0,0,0,0,0
0,7999,1,0,0,0,0,0,0,0,0,0
1,1,3055,0,0,0,0,0,0,0,0,0
0,0,0,7,0,1,0,0,1,0,0,0
0,0,0,0,266,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,0,0
0,1,0,0,0,0,5,0,0,0,0,0
0,0,0,0,0,0,0,8000,0,0,0,0
0,0,0,0,0,1,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,8000,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8000
